/opt/python/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([128, 1])) that is different to the input size (torch.Size([128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)

Episode 0, Reward: 430.0, MovingAvg(1): 430.00, avgMovingReward: 430.0, Epsilon: 0.8000, Actor_Loss: -58.9212, Critic_Loss: 2989.9937, Entropy: 2.1890
Episode 120, Reward: 370.0, MovingAvg(100): 401.20, avgMovingReward: 373.5, Epsilon: 0.5604, Actor_Loss: -18.0548, Critic_Loss: 889.1501, Entropy: 1.7364

Episode 121, Reward: 1910.0, MovingAvg(100): 412.80, avgMovingReward: 527.1, Epsilon: 0.5576, Actor_Loss: 53.6119, Critic_Loss: 4606.3368, Entropy: 1.4821

Episode 122, Reward: 290.0, MovingAvg(100): 412.10, avgMovingReward: 503.4, Epsilon: 0.5548, Actor_Loss: 22.1484, Critic_Loss: 460.1940, Entropy: 1.5536

Episode 123, Reward: 240.0, MovingAvg(100): 411.10, avgMovingReward: 477.1, Epsilon: 0.5521, Actor_Loss: 9.0122, Critic_Loss: 603.5848, Entropy: 1.6477

Episode 124, Reward: 280.0, MovingAvg(100): 412.00, avgMovingReward: 457.4, Epsilon: 0.5493, Actor_Loss: -4.2215, Critic_Loss: 1061.9382, Entropy: 1.6743

Episode 125, Reward: 360.0, MovingAvg(100): 413.40, avgMovingReward: 447.6, Epsilon: 0.5466, Actor_Loss: 40.1730, Critic_Loss: 2890.2567, Entropy: 1.5902

Episode 126, Reward: 350.0, MovingAvg(100): 414.50, avgMovingReward: 437.9, Epsilon: 0.5438, Actor_Loss: -21.9115, Critic_Loss: 1817.0064, Entropy: 1.6462

Episode 127, Reward: 410.0, MovingAvg(100): 414.90, avgMovingReward: 435.1, Epsilon: 0.5411, Actor_Loss: 24.0486, Critic_Loss: 1779.3455, Entropy: 1.6535

Episode 128, Reward: 230.0, MovingAvg(100): 412.00, avgMovingReward: 414.6, Epsilon: 0.5384, Actor_Loss: 8.0816, Critic_Loss: 503.6977, Entropy: 1.7888

Episode 129, Reward: 540.0, MovingAvg(100): 409.50, avgMovingReward: 427.1, Epsilon: 0.5357, Actor_Loss: 19.4795, Critic_Loss: 1045.7778, Entropy: 1.6108

Episode 130, Reward: 390.0, MovingAvg(100): 409.00, avgMovingReward: 423.4, Epsilon: 0.5330, Actor_Loss: 24.2053, Critic_Loss: 927.3990, Entropy: 1.4898

Episode 131, Reward: 260.0, MovingAvg(100): 409.20, avgMovingReward: 407.1, Epsilon: 0.5304, Actor_Loss: 16.6406, Critic_Loss: 744.2193, Entropy: 1.6292

Episode 132, Reward: 500.0, MovingAvg(100): 411.40, avgMovingReward: 416.4, Epsilon: 0.5277, Actor_Loss: -34.2065, Critic_Loss: 697.9084, Entropy: 1.6375

Episode 133, Reward: 250.0, MovingAvg(100): 411.70, avgMovingReward: 399.7, Epsilon: 0.5251, Actor_Loss: -5.3402, Critic_Loss: 313.8658, Entropy: 1.3076

Episode 134, Reward: 570.0, MovingAvg(100): 414.70, avgMovingReward: 416.8, Epsilon: 0.5225, Actor_Loss: 64.9098, Critic_Loss: 2227.3788, Entropy: 1.4380

Episode 135, Reward: 280.0, MovingAvg(100): 412.90, avgMovingReward: 403.1, Epsilon: 0.5198, Actor_Loss: -12.0384, Critic_Loss: 1570.2432, Entropy: 1.7733

Episode 136, Reward: 590.0, MovingAvg(100): 415.30, avgMovingReward: 421.8, Epsilon: 0.5172, Actor_Loss: 63.7826, Critic_Loss: 7384.6040, Entropy: 1.4967

